team,ofe,dfe
Rice,107.5513483,108.8683773
Eastern Kentucky,109.9880198,111.4181817
Southern Illinois,106.813412,108.2267816
Ohio,107.4463818,108.9003974
UTSA,108.0921909,109.6577622
East Carolina,107.1199178,108.7375642
Central Connecticut,101.450883,103.048203
Wyoming,104.199996,105.9568576
Drexel,104.3130741,106.073808
Portland St.,101.3649565,103.1885073
South Carolina St.,103.5526865,105.505174
Norfolk St.,108.6427824,110.7468208
Illinois Chicago,106.3312699,108.4921791
Jacksonville,102.0087329,104.1353394
Queens,106.6542144,109.0026317
Miami FL,112.7912426,115.3116246
Cal Poly,107.5983441,110.0396409
Oakland,107.0938025,109.5279634
Merrimack,99.83601527,102.3127536
Northeastern,104.64505,107.3415443
Southeast Missouri St.,102.2073611,105.0250707
South Florida,103.1193561,105.9662034
Brown,103.1120063,106.1205296
Abilene Christian,98.95712798,101.9752975
Pepperdine,106.7726903,110.0481875
Quinnipiac,101.1566236,104.500446
Massachusetts,102.4458694,105.8841163
Hampton,103.977148,107.6341235
Youngstown St.,102.3131911,105.9743981
Princeton,104.4803566,108.2412167
Indiana St.,108.7382788,112.6528202
Idaho St.,106.4355354,110.4311531
Southern,99.6513107,103.3956325
Southeastern Louisiana,104.6861932,108.6453096
Bucknell,104.1184755,108.0615375
Texas St.,108.7893879,113.0156065
Missouri St.,102.3284463,106.3371133
Vermont,101.4263277,105.4858713
SIU Edwardsville,102.0291881,106.1611978
Campbell,102.0022597,106.1734612
William & Mary,107.1368709,111.590016
La Salle,103.4346825,107.7445552
Wright St.,109.2634074,113.8851572
Seton Hall,98.63746173,102.8339152
Valparaiso,105.7810308,110.424279
Central Michigan,105.3215709,109.9776749
Hofstra,98.46099641,102.9002874
Northwestern St.,102.2178068,106.8709141
UNC Asheville,107.8378003,112.7695299
Elon,106.7389883,111.6707583
Tennessee St.,103.6450331,108.5686845
Richmond,104.2084925,109.1809927
Longwood,105.7121489,110.8586708
UMKC,101.0163205,106.0849422
Maine,100.9085511,105.9989269
Delaware,109.7365224,115.3039939
Hawaii,102.776055,108.0047493
UT Rio Grande Valley,104.976866,110.4712629
UT Arlington,106.6041435,112.3041611
Fordham,105.214991,110.8445689
Harvard,102.6839995,108.346573
South Dakota,108.9370708,114.9711867
Idaho,109.659061,116.0432273
UC Davis,97.7419378,103.5847601
North Dakota,108.4981328,115.0760454
Incarnate Word,105.7281901,112.2451294
Tulsa,102.1850068,108.5025139
Sacred Heart,107.2707137,113.9832551
Georgia St.,107.835323,114.6121152
Georgia Southern,103.6460385,110.1673973
Northern Arizona,104.2104604,110.8735036
Manhattan,108.1368567,115.0677975
Iona,99.45063162,105.9004248
Little Rock,98.75761871,105.2577978
American,101.9076215,108.6595752
Northern Kentucky,103.179746,110.0718346
Portland,106.7859286,114.0755632
Toledo,110.9516695,118.7059956
Presbyterian,103.9490313,111.2252598
Cal St. Bakersfield,106.3216762,113.852363
Fresno St.,100.9691578,108.1258676
Monmouth,104.495387,112.0503934
Evansville,98.7143654,105.9863832
UMass Lowell,107.608709,115.9323143
Houston Christian,101.0885372,109.0688465
Gardner Webb,103.0581758,111.2125366
Siena,102.1895689,110.2771261
Charlotte,105.4956751,114.0127428
North Florida,108.7074371,117.4967455
Colgate,104.8319809,113.4204842
FIU,97.35782662,105.3598182
Jackson St.,100.80015,109.1765253
Bowling Green,100.3984664,108.9435407
Ball St.,104.2899186,113.2058106
Eastern Michigan,104.8294603,113.8761222
Mount St. Mary's,100.8019975,109.5475017
Denver,100.4009436,109.2041059
Albany,103.3798269,112.5355228
Navy,102.4874512,111.5985049
Mercer,98.97219983,107.863018
Marist,97.69302971,106.5307576
Texas Southern,95.86694679,104.6554097
LIU,95.2568342,104.0552219
Alabama St.,101.0850826,110.4516284
Eastern Washington,102.2441104,111.7964311
Western Michigan,102.6205516,112.3637856
Pacific,101.2103377,110.9399218
Austin Peay,102.700244,112.7536463
Tennessee Martin,102.8930482,113.1886067
Stephen F. Austin,95.908842,105.5670791
Tarleton St.,94.32920895,103.829232
Tennessee Tech,101.8513542,112.3297162
Bethune Cookman,98.87745606,109.5774118
Weber St.,101.4591953,112.4589206
San Diego,100.7927676,111.7384113
Saint Peter's,95.40374839,105.8099023
Lafayette,98.46509516,109.211845
Old Dominion,100.1277129,111.1504055
Air Force,99.15969581,110.3426985
Lehigh,100.1292068,111.5715781
Columbia,105.0904235,117.1016603
Howard,103.9522319,116.0206634
Oral Roberts,104.4653406,116.5933702
Rider,101.6917034,113.6190438
Penn,103.8517561,116.1289665
Utah Tech,103.1125893,115.3823851
Fairleigh Dickinson,98.2120973,109.9329869
Saint Francis,101.7735864,114.2520001
Southern Miss,97.03546553,109.0105859
Louisiana,98.03593396,110.2155012
Charleston Southern,99.59283093,112.027408
Army,101.0354969,113.7252433
North Carolina Central,103.0573411,116.07917
Delaware St.,101.1972612,114.0042222
VMI,99.21969122,111.8567031
Loyola MD,100.4525823,113.2472004
Long Beach St.,101.404601,114.477605
Boston University,98.76550004,111.5919983
Binghamton,99.59552127,112.6053776
IU Indy,109.7525162,124.1247516
Eastern Illinois,94.04491663,106.3921817
